,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
235,"USD $1,583,154","Sector 36A, Gurgaon, Haryana",4,4,"6,353.00 sq ft",Apartment
236,"USD $177,212","Sector 33 Sohna, Gurgaon, Haryana",3,2,"1,557.00 sq ft",Apartment
237,"USD $256,554","Mogappair, Chennai, Tamil Nadu",4,4,"2,580.00 sq ft",Apartment
238,"USD $183,963","Mogappair, Chennai, Tamil Nadu",3,3,"1,850.00 sq ft",Apartment
239,"USD $159,912","Sector 33 Sohna, Gurgaon, Haryana",2,2,"1,405.00 sq ft",Apartment
240,"USD $173,911","Sector 33 Sohna, Gurgaon, Haryana",2,2,"1,528.00 sq ft",Apartment
241,"USD $69,554","Budigere Cross, Bangalore, Karnataka",2,2,775.00 sq ft,Apartment
242,"USD $227,177","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,996.00 sq ft",Apartment
243,"USD $190,187","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,671.00 sq ft",Apartment
244,"USD $157,636","Sector 33 Sohna, Gurgaon, Haryana",2,2,"1,385.00 sq ft",Apartment
245,"USD $138,221","Mogappair, Chennai, Tamil Nadu",3,2,"1,390.00 sq ft",Apartment
246,"USD $186,946","Mogappair, Chennai, Tamil Nadu",3,3,"1,880.00 sq ft",Apartment
247,"USD $835,253","Whitefield Hope Farm Junction, Bangalore, Karnataka",4,7,"5,576.00 sq ft",Apartment
248,"USD $96,478","Budigere Cross, Bangalore, Karnataka",2,2,"1,075.00 sq ft",Apartment
249,"USD $195,896","Mogappair, Chennai, Tamil Nadu",3,3,"1,970.00 sq ft",Apartment
250,"USD $36,092","Poonamallee, Chennai, Tamil Nadu",1,1,392.00 sq ft,Apartment
251,"USD $70,152","Poonamallee, Chennai, Tamil Nadu",2,2,757.00 sq ft,Apartment
252,"USD $32,593","Poonamallee, Chennai, Tamil Nadu",1,1,354.00 sq ft,Apartment
253,"USD $141,252","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,179.00 sq ft",Apartment
254,"USD $116,613","Devanahalli, Bangalore, Karnataka",3,3,"1,477.00 sq ft",Apartment
255,"USD $51,793","Devanahalli, Bangalore, Karnataka",1,1,656.00 sq ft,Apartment
256,"USD $611,373","Mahadevapura, Bangalore, Karnataka",4,4,"3,780.00 sq ft",Apartment
257,"USD $121,271","Devanahalli, Bangalore, Karnataka",3,3,"1,536.00 sq ft",Apartment
258,"USD $65,067","Budigere Cross, Bangalore, Karnataka",2,2,725.00 sq ft,Apartment
259,"USD $634,017","Mahadevapura, Bangalore, Karnataka",4,4,"3,920.00 sq ft",Apartment
260,"USD $644,530","Mahadevapura, Bangalore, Karnataka",4,4,"3,985.00 sq ft",Apartment
261,"USD $584,536","Sector 62, Gurgaon, Haryana",3,3,"2,568.00 sq ft",Apartment
